# Hello
# If you're reading this, then that means you're interested in the DDR mode, and maybe want to create your own levels!
# I've left this as a small tutorial on how to make them
# This file is basically just a list of ticks and poses (up, left, right, down)
# You can also leave comments with the # char, and you should be able to have empty lines

## MAIN
6900 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down

#### AMPLIFY
## MAIN
13700 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down

+0 idle

## MAIN
17150 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down


## MAIN
20500 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down

## MAIN
24000 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right 

+435 left
+435 right
+435 down


## Up down
27400 up
+435 down

## Up down
30800 up
+435 down


## MAIN
37700 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down

## MAIN
44600 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down


## MAIN 
51400 left
+435 left

+435 left
+212 up
+212 right
+212 left
+212 right

+435 left
+435 right
+435 down
